id,editor_id,date,date_gmt,content,title,excerpt,status,comment_status,ping_status,name,modified,modified_gmt,parent,guid,type,mime_type
1,1,3/30/2016,3/30/2016,"There is more to come... Hold on to your socks because when we are done, you will be left with no pants and you'll be needing something to cover up your lady parts up with!",Laggin Out Yet?,,publish,open,open,hello-world,1/9/2018,1/9/2018,0,http://www.lagginout.com/?p=1,post,
2,1,3/30/2016,3/30/2016,"Now I can tell you all the things you want to hear... but truthfully, I'm going to end up showing you :)",What's to come,,publish,closed,open,sample-page,3/30/2016,3/30/2016,0,http://www.lagginout.com/?page_id=2,page,
6,1,3/30/2016,3/30/2016,http://www.lagginout.com/wp-content/uploads/2016/03/cropped-icon.png,cropped-icon.png,,inherit,open,closed,cropped-icon-png,3/30/2016,3/30/2016,0,http://www.lagginout.com/wp-content/uploads/2016/03/cropped-icon.png,attachment,image/png
22,1,3/30/2016,3/30/2016,"There is more to come... Hold on to your socks because when we are done, you will be left with no pants and you'll need something to cover your lady parts up with!",Hello world!,,inherit,closed,closed,1-revision-v1,3/30/2016,3/30/2016,1,http://www.lagginout.com/?p=22,revision,
23,1,3/30/2016,3/30/2016,"There is more to come... Hold on to your socks because when we are done, you will be left with no pants and you'll need something to cover your lady parts up with!",Laggin Out Yet?,,inherit,closed,closed,1-revision-v1,3/30/2016,3/30/2016,1,http://www.lagginout.com/?p=23,revision,
24,1,3/30/2016,3/30/2016,"Now I can tell you all the things you want to hear... but truthfully, I'm going to end up showing you :)",What's to come,,inherit,closed,closed,2-revision-v1,3/30/2016,3/30/2016,2,http://www.lagginout.com/?p=24,revision,
28,1,10/2/2016,10/2/2016,[embedyt] http://www.youtube.com/embed?layout=gallery&amp;listType=playlist&amp;list=PL1hAjE22P9l55gtsscoqS0wWZ4SiPRWiW[/embedyt],Laggin' Out Podcasts,,publish,closed,closed,laggin-out-podcasts,10/2/2016,10/2/2016,0,http://www.lagginout.com/?page_id=28,page,
30,1,10/2/2016,10/2/2016,[embedyt] http://www.youtube.com/embed?layout=gallery&amp;listType=playlist&amp;list=PL1hAjE22P9l55gtsscoqS0wWZ4SiPRWiW[/embedyt],Videos,,inherit,closed,closed,28-revision-v1,10/2/2016,10/2/2016,28,http://www.lagginout.com/?p=30,revision,
31,1,10/2/2016,10/2/2016,[embedyt] http://www.youtube.com/embed?layout=gallery&amp;listType=playlist&amp;list=PL1hAjE22P9l55gtsscoqS0wWZ4SiPRWiW[/embedyt],Laggin' Out Podcasts,,inherit,closed,closed,28-revision-v1,10/2/2016,10/2/2016,28,http://www.lagginout.com/?p=31,revision,
34,1,10/3/2016,10/3/2016,[embedyt] http://www.youtube.com/embed?layout=gallery&amp;listType=playlist&amp;list=PL1hAjE22P9l6GwdgxKyUITzp8xsb76dFs[/embedyt],Laggin' Out - Let's Play,,publish,closed,closed,laggin-out-lets-play,10/3/2016,10/3/2016,0,http://www.lagginout.com/?page_id=34,page,
35,1,10/3/2016,10/3/2016,[embedyt] http://www.youtube.com/embed?layout=gallery&amp;listType=playlist&amp;list=PL1hAjE22P9l6GwdgxKyUITzp8xsb76dFs[/embedyt],Laggin' Out - Let's Play,,inherit,closed,closed,34-revision-v1,10/3/2016,10/3/2016,34,http://www.lagginout.com/?p=35,revision,
36,1,10/3/2016,10/3/2016,[embedyt] http://www.youtube.com/embed?layout=gallery&amp;listType=playlist&amp;list=PL1hAjE22P9l4_w5_m5LOxqlPrhFCV4e2-[/embedyt],Laggin' Out Specials,,publish,closed,closed,laggin-out-specials,10/3/2016,10/3/2016,0,http://www.lagginout.com/?page_id=36,page,
37,1,10/3/2016,10/3/2016,[embedyt] http://www.youtube.com/embed?layout=gallery&amp;listType=playlist&amp;list=PL1hAjE22P9l4_w5_m5LOxqlPrhFCV4e2-[/embedyt],Laggin' Out Specials,,inherit,closed,closed,36-revision-v1,10/3/2016,10/3/2016,36,http://www.lagginout.com/?p=37,revision,
38,1,10/3/2016,10/3/2016,[embedyt] http://www.youtube.com/embed?layout=gallery&amp;listType=playlist&amp;list=PL1hAjE22P9l53uhgGaOWeH3ByCDMVjt7J[/embedyt],Laggin' Out Reviews,,publish,closed,closed,laggin-out-reviews,10/3/2016,10/3/2016,0,http://www.lagginout.com/?page_id=38,page,
39,1,10/3/2016,10/3/2016,[embedyt] http://www.youtube.com/embed?layout=gallery&amp;listType=playlist&amp;list=PL1hAjE22P9l53uhgGaOWeH3ByCDMVjt7J[/embedyt],Laggin' Out Reviews,,inherit,closed,closed,38-revision-v1,10/3/2016,10/3/2016,38,http://www.lagginout.com/?p=39,revision,
47,1,10/3/2016,10/3/2016,,Videos,,publish,closed,closed,videos,1/5/2018,1/5/2018,0,http://www.lagginout.com/?p=47,nav_menu_item,
49,1,10/3/2016,10/3/2016,[forum],Forums,,publish,closed,closed,forums,10/3/2016,10/3/2016,0,http://www.lagginout.com/?page_id=49,page,
50,1,10/3/2016,10/3/2016,[forum],Forums,,inherit,closed,closed,49-revision-v1,10/3/2016,10/3/2016,49,http://www.lagginout.com/?p=50,revision,
51,1,10/3/2016,10/3/2016,,,,publish,closed,closed,51,1/5/2018,1/5/2018,0,http://www.lagginout.com/?p=51,nav_menu_item,
60,1,11/22/2016,11/22/2016,[dragonball1],Games,,publish,closed,closed,games,11/22/2016,11/22/2016,0,http://www.lagginout.com/?page_id=60,page,
61,1,11/22/2016,11/22/2016,,Games,,inherit,closed,closed,60-revision-v1,11/22/2016,11/22/2016,60,http://www.lagginout.com/?p=61,revision,
63,1,11/22/2016,11/22/2016,[pokemon1],Games,,inherit,closed,closed,60-revision-v1,11/22/2016,11/22/2016,60,http://www.lagginout.com/?p=63,revision,
64,1,11/22/2016,11/22/2016,[pokemon1] [hulksmashup],Games,,inherit,closed,closed,60-revision-v1,11/22/2016,11/22/2016,60,http://www.lagginout.com/?p=64,revision,
65,1,11/22/2016,11/22/2016,[pokemon1] [hulksmashup] [ironman2] [powerrangersdino] [supermanmetropolis] [angrybirdsspace] [cartwisteddreams] [pacman] [dragonball1] [happywheels] [mahjong] [ninjabattle3] [batmandefendgotham] [codcrossfire] [falltimesudoku] [backgammon],Games,,inherit,closed,closed,60-autosave-v1,11/22/2016,11/22/2016,60,http://www.lagginout.com/?p=65,revision,
66,1,11/22/2016,11/22/2016,[pokemon1] [hulksmashup] [ironman2] [powerrangersdino] [supermanmetropolis] [angrybirdsspace] [cartwisteddreams] [pacman] [dragonball1] [happywheels] [mahjong] [ninjabattle3] [batmandefendgotham] [codcrossfire] [falltimesudoku] [backgammon] [chess] [minionrush] [escapingtheprison],Games,,inherit,closed,closed,60-revision-v1,11/22/2016,11/22/2016,60,http://www.lagginout.com/?p=66,revision,
67,1,11/22/2016,11/22/2016,,Games,,inherit,closed,closed,60-revision-v1,11/22/2016,11/22/2016,60,http://www.lagginout.com/?p=67,revision,
68,1,11/22/2016,11/22/2016,[dragonball1],Games,,inherit,closed,closed,60-revision-v1,11/22/2016,11/22/2016,60,http://www.lagginout.com/?p=68,revision,
79,1,1/24/2017,1/24/2017,,My Account,,publish,closed,closed,my-account,1/24/2017,1/24/2017,0,http://www.lagginout.com/?page_id=79,page,
80,1,1/24/2017,1/24/2017,,Blog,,publish,closed,closed,blog,1/24/2017,1/24/2017,0,http://www.lagginout.com/?page_id=80,page,
81,1,1/24/2017,1/24/2017,,Callback,,publish,closed,closed,callback,1/24/2017,1/24/2017,0,http://www.lagginout.com/?page_id=81,page,
82,1,1/24/2017,1/24/2017,,Sample CSS,,publish,closed,closed,sample-css,1/24/2017,1/24/2017,0,http://www.lagginout.com/?page_id=82,page,
83,1,1/24/2017,1/24/2017,,Contact,,publish,closed,closed,contact,1/24/2017,1/24/2017,0,http://www.lagginout.com/?page_id=83,page,
84,1,1/24/2017,1/24/2017,,Add Listing,,publish,closed,closed,add-listing,1/24/2017,1/24/2017,0,http://www.lagginout.com/?page_id=84,page,
85,1,1/24/2017,1/24/2017,,Members,,publish,closed,closed,members,1/24/2017,1/24/2017,0,http://www.lagginout.com/?page_id=85,page,
86,1,1/24/2017,1/24/2017,Chieftain rages against the Muslim Ban &amp; the Gaming Industry.,THE MUSLIM BAN VS GAMING (LOP: S05),,publish,open,closed,example-video-1,1/9/2018,1/9/2018,0,http://www.lagginout.com/?listing_type=example-video-1,listing_type,
87,1,1/24/2017,1/24/2017,MR STEAL YOUR GIRL (DAUGHTER EDITION) REACTION VIDEO!.,MR STEAL YOUR GIRL 7: REACTION (LOP: S04),,publish,open,closed,example-video-2,1/9/2018,1/9/2018,0,http://www.lagginout.com/?listing_type=example-video-2,listing_type,
88,1,1/24/2017,1/24/2017,CAUTION: VIDEO NOT SUITED FOR SQUEAMISH VIEWERS!,ANONYMOUS HACKER TROLLING: Part2 (LOP: S04),,publish,open,closed,example-video-3,1/9/2018,1/9/2018,0,http://www.lagginout.com/?listing_type=example-video-3,listing_type,
89,1,1/24/2017,1/24/2017,Real laughter plus something you have never seen before from one of our hosts!,ANONYMOUS HACKER TROLLING 10 Part 1 (LOP: S04),,publish,open,closed,example-video-4,1/9/2018,1/9/2018,0,http://www.lagginout.com/?listing_type=example-video-4,listing_type,
90,1,1/24/2017,1/24/2017,"Lustful Girl Goes Completely Nuts and Gets off to My Videos Reaction Video. (LeafyIsHere) <dl class=""dl-horizontal""></dl>",Lustful Girl Goes Completely Nuts and Gets off to my Videos Reaction Video,,publish,open,closed,example-video-5,1/9/2018,1/9/2018,0,http://www.lagginout.com/?listing_type=example-video-5,listing_type,
91,1,1/24/2017,1/24/2017,Chieftain and Storm are back with part 2 video of Anonymous Hacker Trolling 11!,ANONYMOUS HACKER TROLLING 11 PART 2 (LOP: S05),,publish,open,closed,example-video-6,1/9/2018,1/9/2018,0,http://www.lagginout.com/?listing_type=example-video-6,listing_type,
92,1,1/24/2017,1/24/2017,"Chieftain addresses the good, the bad, and trolls who are stacking against him in this video. This video was taken down but we put it back up and will defend our rights to promote free speech.",CHIEFTAIN READS YOUR GAMING EMAILS (LOP: S05),,publish,open,closed,example-video-7,1/9/2018,1/9/2018,0,http://www.lagginout.com/?listing_type=example-video-7,listing_type,
93,1,1/24/2017,1/24/2017,"<center></center>You all know we thrift started this SHIT! &nbsp; <center><img src=""http://www.lagginout.com/wp-content/uploads/2017/06/dancing.gif"" /></center>",How LagginOut Started...,,draft,open,closed,example-video-8,1/9/2018,1/9/2018,0,http://www.lagginout.com/?listing_type=example-video-8,listing_type,
94,1,1/24/2017,1/24/2017,Chieftain and Storm are back with the first reaction video of the year! Anonymous hacker trolling returns but to Modern Warfare!,ANONYMOUS HACKER TROLLING 11 PART 1 Reaction Video,,publish,open,closed,example-video-9,1/9/2018,1/9/2018,0,http://www.lagginout.com/?listing_type=example-video-9,listing_type,
125,1,1/25/2017,1/25/2017,"<p>Lustful girl goes .</p><dl class='dl-horizontal'> <dt>Description lists</dt> <dd>A description list is perfect for defining terms.</dd> <dt>Euismod</dt> <dd>Vestibulum id ligula porta felis euismod semper eget lacinia odio sem nec elit.</dd> <dd>Donec id elit non mi porta gravida at eget metus.</dd> <dt>Malesuada porta</dt> <dd>Etiam porta sem malesuada magna mollis euismod.</dd> <dt>Felis euismod semper eget lacinia</dt> <dd>Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus.</dd> </dl>",Test,,inherit,closed,closed,90-autosave-v1,1/25/2017,1/25/2017,90,http://www.lagginout.com/?p=125,revision,
128,1,1/25/2017,1/25/2017,.headbox h5 { color: #ad0a20;} .headbox h4 { color: #ad0a20;} li.MyLocationLi { display: none; } #core_logo img.img-responsive{ max-height: 125px; } @media screen and (min-width: 1000px){ #core_menu_wrapper { display:none;} },VT,,publish,closed,closed,vt,12/8/2017,12/8/2017,0,http://www.lagginout.com/?p=128,custom_css,
129,1,1/25/2017,1/25/2017,.headbox h5 { color: #ad0a20; },VT,,inherit,closed,closed,128-revision-v1,1/25/2017,1/25/2017,128,http://www.lagginout.com/?p=129,revision,
132,1,1/25/2017,1/25/2017,.headbox h5 { color: #ad0a20;} .headbox h4 { color: #ad0a20;},VT,,inherit,closed,closed,128-revision-v1,1/25/2017,1/25/2017,128,http://www.lagginout.com/?p=132,revision,
135,1,6/1/2017,6/1/2017,<p>Chieftain and Storm are back with part 2 video of Anonymous Hacker Trolling 11!</p>,ANONYMOUS HACKER TROLLING 11 PART 2 (LOP: S05),,inherit,closed,closed,91-autosave-v1,6/1/2017,6/1/2017,91,http://www.lagginout.com/?p=135,revision,
